cohort,age,sex,year,csm_risk_agg,prev_alive_agg,prev_diseased_agg,prev_dead_agg,N,alive_agg,diseased_agg,dead_agg,prevalence_agg,i_agg,f_agg,r_agg,DR_agg,sub_pops,csm_risk0,N0,prev_alive0,prev_diseased0,prev_dead0,alive0,diseased0,dead0,prevalence0,i0,f0,r0,DR0,csm_risk1,N1,prev_alive1,prev_diseased1,prev_dead1,alive1,diseased1,dead1,prevalence1,i1,f1,r1,DR1,csm_risk2,N2,prev_alive2,prev_diseased2,prev_dead2,alive2,diseased2,dead2,prevalence2,i2,f2,r2,DR2,csm_risk3,N3,prev_alive3,prev_diseased3,prev_dead3,alive3,diseased3,dead3,prevalence3,i3,f3,r3,DR3,csm_risk4,N4,prev_alive4,prev_diseased4,prev_dead4,alive4,diseased4,dead4,prevalence4,i4,f4,r4,DR4,subpop_alive_sum,alive_error,subpop_diseased_sum,diseased_error,subpop_dead_sum,dead_error,csm_risk_other_weighted_average,csm_risk_other_error
0.0,2,female,2011,0.0,1000.0,0.0,0.0,1000,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,5,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,1000.0,0.0,0.0,0.0,0.0,0.0,,
0.0,3,female,2012,0.0,1000.0,0.0,0.0,1000,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,5,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,1000.0,0.0,0.0,0.0,0.0,0.0,,
0.0,4,female,2013,0.0,1000.0,0.0,0.0,1000,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,5,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,1000.0,0.0,0.0,0.0,0.0,0.0,,
0.0,5,female,2014,0.0,1000.0,0.0,0.0,1000,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,5,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,1000.0,0.0,0.0,0.0,0.0,0.0,,
0.0,6,female,2015,0.0,1000.0,0.0,0.0,1000,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,5,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,1000.0,0.0,0.0,0.0,0.0,0.0,,
0.0,7,female,2016,0.0,1000.0,0.0,0.0,1000,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,5,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,1000.0,0.0,0.0,0.0,0.0,0.0,,
0.0,8,female,2017,0.0,1000.0,0.0,0.0,1000,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,5,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,1000.0,0.0,0.0,0.0,0.0,0.0,,
0.0,9,female,2018,0.0,1000.0,0.0,0.0,1000,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,5,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,1000.0,0.0,0.0,0.0,0.0,0.0,,
0.0,10,female,2019,0.0,1000.0,0.0,0.0,1000,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,5,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,1000.0,0.0,0.0,0.0,0.0,0.0,,
0.0,11,female,2020,0.0,1000.0,0.0,0.0,1000,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,5,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,,200.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626826291552901,1000.0,0.0,0.0,0.0,0.0,0.0,,
